Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFRY - CO2 Equivalents Emission Total,SE0005999836(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7490,11677,8522
AGEAS (EX-FORTIS) - CO2e Indirect Emissions Scope 3,BE0974264930(ENERDP096),NA,18556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14933,5691
AGEAS (EX-FORTIS) - CO2 Equivalents Emission Total,BE0974264930(ENERDP023),NA,60746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15350,10973
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AGFA-GEVAERT - CO2 Equivalents Emission Total,BE0003755692(ENERDP023),NA,125000,118000,245500,233100,230100,218500,203100,203000,183200,182100,184700,162700,144600
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AGRANA BETEILIGUNGS - CO2 Equivalents Emission Total,AT000AGRANA3(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,918818,928007
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AHLERS - CO2 Equivalents Emission Total,DE0005009740(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4657
AIB GROUP - CO2e Indirect Emissions Scope 3,IE00BF0L3536(ENERDP096),NA,NA,13082.4,NA,NA,1511,NA,NA,NA,10760,8702,15304,14460,10402
AIB GROUP - CO2 Equivalents Emission Total,IE00BF0L3536(ENERDP023),NA,NA,32786.1,NA,NA,24141,NA,NA,NA,22028,20823,19528,14809,13738
AIR FRANCE-KLM - CO2e Indirect Emissions Scope 3,FR0000031122(ENERDP096),NA,NA,NA,130500,130500,2530740,NA,NA,NA,NA,5258106,5704010,5907000,3034000
AIR FRANCE-KLM - CO2 Equivalents Emission Total,FR0000031122(ENERDP023),NA,27154388,27595833,25433892,28378964,28295700,NA,NA,NA,NA,27619555,27679500,28296300,14054800
AIRBUS - CO2e Indirect Emissions Scope 3,NL0000235190(ENERDP096),NA,NA,123000,NA,1200000,250000,NA,NA,NA,NA,NA,NA,867977000,522715000
AIRBUS - CO2 Equivalents Emission Total,NL0000235190(ENERDP023),NA,740000,994500,1022950,1048900.2,1011407,1009725,950690,927616,935402,1013101,959825,954000,783000
AIXTRON - CO2e Indirect Emissions Scope 3,DE000A0WMPJ6(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4282.5,3637.97,1310.1
AIXTRON - CO2 Equivalents Emission Total,DE000A0WMPJ6(ENERDP023),NA,NA,NA,NA,NA,NA,NA,4219,NA,NA,NA,6985.98,NA,NA
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AKASTOR - CO2 Equivalents Emission Total,NO0010215684(ENERDP023),NA,146654,136797,109573,74761,67062,77010,34370,26500,15000,14600,5600,38500,74900
AKER - CO2e Indirect Emissions Scope 3,NO0010234552(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,1298630
AKER - CO2 Equivalents Emission Total,NO0010234552(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1698,1011620
AKER BIOMARINE - CO2e Indirect Emissions Scope 3,NO0010886625(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15313
AKER BIOMARINE - CO2 Equivalents Emission Total,NO0010886625(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103442
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AKER BP - CO2 Equivalents Emission Total,NO0010345853(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1039980,1050740,1075430,1002430
AKER CARBON CAPTURE - CO2e Indirect Emissions Scope 3,NO0010890304(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.4
AKER CARBON CAPTURE - CO2 Equivalents Emission Total,NO0010890304(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
AKER SOLUTIONS - CO2e Indirect Emissions Scope 3,NO0010716582(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15094,12867,4936
AKER SOLUTIONS - CO2 Equivalents Emission Total,NO0010716582(ENERDP023),NA,NA,NA,NA,NA,NA,NA,21188,27193,22133,18383,18932,22388,19978
AKKA TECHNOLOGIES - CO2e Indirect Emissions Scope 3,FR0004180537(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5744,5885,3169
AKKA TECHNOLOGIES - CO2 Equivalents Emission Total,FR0004180537(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11981,15160,13640
AKTIA BANK A - CO2e Indirect Emissions Scope 3,FI4000058870(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59043.5,64754.1,52889
AKTIA BANK A - CO2 Equivalents Emission Total,FI4000058870(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955.06,881.12,556.64
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AKWEL - CO2 Equivalents Emission Total,FR0000053027(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3356.46,NA,82791
AKZO NOBEL - CO2e Indirect Emissions Scope 3,NL0013267909(ENERDP096),NA,NA,18300000,11500000,20803000,23000000,23000000,NA,NA,1000000,NA,14700000,14300000,12600000
AKZO NOBEL - CO2 Equivalents Emission Total,NL0013267909(ENERDP023),NA,4600000,4600000,5200000,4800000,4700000,3900000,3900000,3800000,3600000,3400000,296160,241390,225360
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ALBIOMA - CO2 Equivalents Emission Total,FR0000060402(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2041000,2004000,1894000
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ALD - CO2 Equivalents Emission Total,FR0013258662(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9900,9158,9615,7810
ALFA LAVAL - CO2e Indirect Emissions Scope 3,SE0000695876(ENERDP096),NA,58640,47370,59700,50720,47217,47287,49777,70614,75964,78650,90050,76051,42864
ALFA LAVAL - CO2 Equivalents Emission Total,SE0000695876(ENERDP023),NA,50719,48252,52499,63919,76301,64882,65172,84479,81861,82903,53398,44861,40535
ALFEN - CO2e Indirect Emissions Scope 3,NL0012817175(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,57
ALFEN - CO2 Equivalents Emission Total,NL0012817175(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1263,934
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ALIMAK GROUP - CO2 Equivalents Emission Total,SE0007158910(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8900.02,7385.71,4637.97
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ALK-ABELLO B - CO2 Equivalents Emission Total,DK0060027142(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8077,8198,6612
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ALLEGRO - CO2e Indirect Emissions Scope 3,LU2237380790(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3046.33
ALLEGRO - CO2 Equivalents Emission Total,LU2237380790(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8690.45
ALLIANZ - CO2e Indirect Emissions Scope 3,DE0008404005(ENERDP096),NA,220385.83,349259,179098,125669,112044,115015,177356,170749,168459,158664,167533,149459,73916
ALLIANZ - CO2 Equivalents Emission Total,DE0008404005(ENERDP023),NA,336244.69,349409,339817,235729,232733,218494,227366,230921,317372,309326,285866,266326,209540
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
ALMIRALL - CO2 Equivalents Emission Total,ES0157097017(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14848,14527,12877,10479
ALPHA SERVICES AND - CO2e Indirect Emissions Scope 3,GRS015003007(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,110,145,273,302.82,548.65
ALPHA SERVICES AND - CO2 Equivalents Emission Total,GRS015003007(ENERDP023),NA,24591,38288,34367,33964,44870,65713,54909,58158,54852,45075,36756,38454,34431
ALSTOM - CO2e Indirect Emissions Scope 3,FR0010220475(ENERDP096),NA,NA,NA,NA,NA,22000,155000,139000,27000,31000,32000,22000,25000,26000
ALSTOM - CO2 Equivalents Emission Total,FR0010220475(ENERDP023),NA,399000,491000,433000,454000,520000,510000,488000,124000,124000,113000,118000,120000,128000
ALSTRIA OFFICE REIT - CO2e Indirect Emissions Scope 3,DE000A0LD2U1(ENERDP096),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69363,72056,61353,48202
ALSTRIA OFFICE REIT - CO2 Equivalents Emission Total,DE000A0LD2U1(ENERDP023),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17015.1,17226.3,12686.7,11298.8
