"","X.1","Country","year","ISIN","X","scope1","scope2","scope3","scope_total","CURRENCY","Rev","Emp","TA","NPPE","INTAN","Debt_comm_eq","Capex","PPEG","Dprc","Accr","S_pillar","E_pillar","G_pillar","NCFOA","Debt_TotCap","GMAR","OIBD","OI","NS_WC","iso","FuelInten","Income.group","CO2_imp","ggroup","gind","gsector","gsubind","naics","naicsh"
"179",179,"AUSTRIA",2009,"AT0000746409",93,2220911,467753,534,2688664,"E",3483100,2820,10345200,5553800,633300,138.25,423141,12004800,192384,NA,50.54,67.57,53.15,968018,55.83,43.47,1220400,1012400,1393.24,"AT","  16.5","High income","National",5510,551010,55,55101010,2211,2211
"180",180,"AUSTRIA",2019,"AT0000821103",113,4134,5500,622,9634,"E",5910790,13038,28373037,351780,517321,34.27,122833,NA,NA,NA,37.62,37.19,47.17,519864,22.11,NA,341847,283684,NA,"AT","  17.2","High income","National",NA,NA,NA,NA,NA,NA
"181",181,"AUSTRIA",2010,"AT0000831706",117,NA,NA,NA,1977970,"E",1744752,11848,4027020,1872214,676304,69.4,126584,3776311,178755,NA,30.29,61.22,84.18,230438,40.91,27.39,142755,-44635,2.22,"AT","  18.2","High income","National",1510,151020,15,15102010,327120,327121
"182",182,"AUSTRIA",2019,"AT0000831706",126,NA,NA,NA,2316000,"E",3466283,17234,4073840,1882634,760379,69.62,215847,4722503,238987,NA,45.42,84.69,83.13,429782,41.03,33.96,552554,314515,21.67,"AT","  17.2","High income","National",1510,151020,15,15102010,327120,327121
"183",183,"AUSTRIA",2019,"AT0000746409",103,1073000,392000,373000,1465000,"E",3895022,2843,11838629,9244185,652045,28.89,295557,18221885,315212,NA,65.39,92.45,61.11,1204298,20.47,34.99,1147834,783612,-10.08,"AT","  17.2","High income","National",5510,551010,55,55101010,2211,2211
"184",184,"AUSTRIA",2009,"AT0000831706",116,NA,NA,NA,1766954,"E",1816884,12676,4049781,1905437,641109,71.11,387849,3738020,78727,NA,22.91,58.72,81.15,290857,41.27,26.37,50030,-37911,2.05,"AT","  16.5","High income","National",1510,151020,15,15102010,327120,327121
"185",185,"AUSTRIA",2019,"AT0000720008",70,22758,252034,112693,274792,"E",4469331,18344,8317077,3782214,3063069,159.95,771459,13499047,671985,NA,57.58,63.35,32.63,1349723,61.51,35.07,1548888,603082,-21.54,"AT","  17.2","High income","National",5010,501010,50,50101020,517919,517919
"186",186,"AUSTRIA",2019,"AT000000STR1",10,833816,177387,NA,1011203,"E",15668574,76919,12113194,2627185,1021209,37.21,644988,6300254,515825,NA,81.26,63.17,66.77,1076575,26.95,32.53,859302,350809,16.48,"AT","  17.2","High income","National",2010,201030,20,20103010,237,234
"187",187,"AUSTRIA",2013,"AT0000743059",84,12900000,7e+05,1.74e+08,13600000,"E",42414699,27344,31393913,17050756,3596917,53.5,2484859,29846357,2252905,NA,83.02,72.64,88.81,4110318,29.65,10.31,4262575,2657887,-61.14,"AT","  15.9","High income","National",1010,101020,10,10102010,2111,211111
"188",188,"AUSTRIA",2009,"AT0000720008",60,15937,69735,NA,85673,"E",4801983,16573,8271246,2675156,3393356,253.87,807643,12001946,730201,-54029,65.29,84.76,62.56,1385419,71.71,70.38,1749171,651248,-7.32,"AT","  16.5","High income","National",5010,501010,50,50101020,517919,517919
"189",189,"AUSTRIA",2013,"AT0000652011",48,32753,84281,25647,117034,"E",10203555,45670,199157127,2056568,2440833,445.45,727000,NA,205400,NA,36.44,83.82,30.24,-19000,77.34,NA,1287379,869979,NA,"AT","  15.9","High income","National",NA,NA,NA,NA,NA,NA
"190",190,"BELGIUM",2020,"BE0974293251",390,NA,NA,23660000,4710000,"E",40863824,163695,183776229,21637161,133085862,144.9,4628919,41949999,4209198,NA,52.18,68.85,83.87,9493140,55.71,54.8,14499898,10608852,-8.55,"BE","  33.1","High income",NA,3020,302010,30,30201010,312120,312120
"191",191,"BELGIUM",2020,"BE0003678894",241,3387,3411.8,11573.6,6798.8,"E",181157,126,2846488,2755004,21960,66.19,84545,2755004,2447,NA,59.98,94.09,47.2,86410,39.83,69.97,99646,97199,NA,"BE","  33.1","High income",NA,NA,NA,NA,NA,NA,NA
"192",192,"BELGIUM",2020,"BE0003822393",309,19797.1,1018650,NA,1038450,"E",2209600,2723,15160600,10094400,2516500,250.18,1130800,13815600,409400,NA,65.68,50.24,43.47,-722600,69.57,18.27,816800,384400,-3.07,"BE","  33.1","High income",NA,5510,551010,55,55101010,221121,221121
"193",193,"BELGIUM",2020,"BE0003656676",230,NA,NA,NA,921784,"E",828792,5162,673459,248377,38945,25.19,50489,675008,42658,NA,36.42,45.4,54.95,1287,20.09,18.95,68225,22017,6.7,"BE","  33.1","High income",NA,1510,151010,15,15101010,326150,326150
"194",194,"BELGIUM",2020,"BE0003746600",267,NA,0,NA,NA,"E",62922,48,1047993,1021980,479,79.91,32738,1021980,749,NA,46.97,26.5,46.67,41469,44.09,94.04,34388,33639,NA,"BE","  33.1","High income",NA,NA,NA,NA,NA,NA,NA
"195",195,"BELGIUM",2020,"BE0974338700",416,9900000,8e+05,NA,10700000,"E",1607033,5359,2663732,1529243,352292,71.69,103663,3267999,186181,NA,75.65,58.51,74.11,252517,41.29,19.26,280503,141722,13.35,"BE","  33.1","High income",NA,1510,151020,15,15102010,327310,327310
"196",196,"BELGIUM",2020,"BE0003797140",287,100,100,300,200,"E",6340400,50,30197100,2516100,4975900,31.72,402700,NA,539000,NA,85.06,67.26,76.28,1229900,22.72,64.95,1463200,924000,NA,"BE","  33.1","High income",NA,NA,NA,NA,NA,NA,NA
"197",197,"BELGIUM",2015,"BE0003678894",236,13533,660.8,14,14193.8,"E",141030,72,2500234,2388803,14552,88.83,68973,2388803,NA,NA,38.13,81.8,67.34,87728,47.04,92.57,88517,88143,NA,"BE","  30.4","High income",NA,NA,NA,NA,NA,NA,NA
"198",198,"BELGIUM",2015,"BE0974320526",408,NA,NA,NA,710143,"E",9697685,13730,3926018,1022591,251790,23.68,190797,2635881,NA,NA,60.57,84.73,56.55,295909,18.69,6.79,410348,191506,20.61,"BE","  30.4","High income",NA,1510,151010,15,15101050,4235,3314
"199",199,"BELGIUM",2015,"BE0974268972",363,70279,602,96331,70881,"E",2393400,23847,2064800,548500,89600,9.5,77600,1541300,73000,NA,57.89,46.47,28.77,361000,8.68,71.72,516100,427000,19.9,"BE","  30.4","High income",NA,2030,203010,20,20301010,541614,541614
"200",200,"BELGIUM",2020,"BE0165385973",333,NA,10394,NA,10394,"E",507517,1458,404922,132680,4650,20.89,26632,433489,46372,1239,61.03,69.51,49.81,95817,17.28,33.44,116928,75919,2.43,"BE","  33.1","High income",NA,4530,453010,45,45301020,334413,334413
"201",201,"BELGIUM",2020,"BE0974320526",413,NA,NA,NA,747964,"E",20710116,13319,8118955,2163661,346888,94.8,529487,4606852,267941,NA,72.13,91.89,50.46,472023,48.04,5.01,709985,463493,9.93,"BE","  33.1","High income",NA,1510,151010,15,15101050,4235,3314
"202",202,"BELGIUM",2020,"BE0003816338",306,3082765,232,638578,3082997,"E",1072783,1382,3018737,2561088,132,55.08,7192,4041309,278625,-7094,31.18,59.68,88.93,845313,35.52,46.71,715829,437118,5.28,"BE","  33.1","High income",NA,1010,101020,10,10102040,483111,483111
"203",203,"BELGIUM",2020,"BE0003755692",280,90900,53700,NA,144600,"E",1709000,7337,2084000,205000,284000,14.59,38000,1968000,59000,NA,85.68,61.86,28.42,-158000,11.81,28.91,165000,96000,1.8,"BE","  33.1","High income",NA,3510,351030,35,35103010,333316,333315
"204",204,"BELGIUM",2020,"BE0003826436",321,6700,35294,3163,41994,"E",2575200,3380,5486700,2288000,2518100,-365.48,261700,4419900,427400,-8400,70.43,82.18,63.21,1057400,136.68,45.72,1381100,672000,-2.43,"BE","  33.1","High income",NA,5020,502010,50,50201030,517,517
"205",205,"BELGIUM",2020,"BE0003699130",242,399.49,39.51,NA,439,"E",83536,91,1399429,10846,536,22.93,NA,NA,NA,NA,50.78,2.16,30.06,-25952,18.4,76.19,-137732,-139890,NA,"BE","  33.1","High income",NA,NA,NA,NA,NA,NA,NA
"206",206,"BELGIUM",2020,"BE0003470755",202,8890000,1400000,28800000,10290000,"E",9714000,23663,16004000,5122000,5406000,97.86,751000,13969000,2416000,NA,74.65,85.15,66.54,1024000,48.97,22.03,1833000,814000,5.68,"BE","  33.1","High income",NA,1510,151010,15,15101020,325,325
"207",207,"BELGIUM",2020,"BE0003766806",285,6390.37,3025.74,109808,9416.11,"E",311955,1528,503199,47595,8348,60.72,4582,78916,8775,NA,68.18,48.09,88.03,98254,37.78,43.61,52240,40281,2.28,"BE","  33.1","High income",NA,3510,351010,35,35101010,334510,334510
"208",208,"BELGIUM",2020,"BE0003853703",325,NA,NA,NA,3921.2,"E",69597,33,1398921,1359665,589,62.37,136222,1360657,278,732,43.31,28.75,68.88,69262,38.41,96.68,55058,54824,NA,"BE","  33.1","High income",NA,NA,NA,NA,NA,NA,NA
"209",209,"BELGIUM",2020,"BE0974256852",341,NA,NA,NA,130589,"E",9581000,29056,4544500,2391600,263900,7.14,404300,4512300,295200,NA,58.75,84.28,34.93,829800,6.65,23.74,649300,358900,-30.9,"BE","  33.1","High income",NA,3010,301010,30,30101030,445110,445110
"210",210,"BELGIUM",2020,"BE0003874915",327,2944,8431,830,11375,"E",555971,2844,732015,118625,389167,140.47,22174,233936,NA,NA,77.79,50.89,33.78,78388,57.97,16.81,117334,89852,25.71,"BE","  33.1","High income",NA,3510,351020,35,35102010,423450,423450
"211",211,"BELGIUM",2020,"BE0974362940",426,3157.41,231.03,274002,3388.44,"E",770083,3303,955392,123474,134564,6.84,20169,267104,43383,NA,77.54,72.25,46.75,-15962,6.08,36.85,49153,9270,1.99,"BE","  33.1","High income",NA,4520,452030,45,45203010,333316,333315
"212",212,"BELGIUM",2020,"BE0003810273",302,26600,70400,647000,97000,"E",5443000,11423,8767000,3454000,3512000,101.76,1091000,12774000,1116000,NA,74.46,68.07,61.03,1515000,49.4,44.57,1884000,767000,-11.99,"BE","  33.1","High income",NA,5010,501010,50,50101020,517311,517110
"213",213,"BELGIUM",2020,"BE0974259880",358,124095,30422,NA,154517,"E",3318000,1810,3407800,262900,527400,3.77,50400,587100,38400,NA,74.04,75.5,68.43,177600,3.63,13.28,69700,23900,2.27,"BE","  33.1","High income",NA,2550,255010,25,25501010,441110,441110
"214",214,"BELGIUM",2020,"BE0003739530",264,30647,18345,34718,48992,"E",5347000,8409,12714000,1035000,7937000,37.78,99000,2061000,139000,NA,92.46,77.84,87.05,1011000,27.42,74.51,1427000,1073000,6.96,"BE","  33.1","High income",NA,3520,352020,35,35202010,325412,325414
"215",215,"BELGIUM",2020,"BE0974258874",346,296530,1248020,NA,1544550,"E",3772374,23839,4163857,1324388,204062,111.18,107578,4327851,202103,NA,69.02,52.4,53.78,490457,51.19,15.89,446034,250548,4.3,"BE","  33.1","High income",NA,1510,151040,15,15104050,331222,331222
"216",216,"BELGIUM",2020,"BE0974349814",419,35,125,NA,160,"E",228809,69,4790405,4693320,1193,92,454568,4693320,7932,NA,72.41,51.63,44.49,195261,47.39,85.75,184468,176043,NA,"BE","  33.1","High income",NA,NA,NA,NA,NA,NA,NA
"217",217,"BELGIUM",2020,"BE0974288202",377,3187,2192,NA,5380,"E",58434,138,1619303,1556750,145,128.43,60005,1556750,191,-3593,32.22,46.6,21.23,6379,55.53,92.08,40556,40201,NA,"BE","  33.1","High income",NA,NA,NA,NA,NA,NA,NA
"218",218,"BELGIUM",2020,"BE0003851681",324,20366,19947,NA,40313,"E",170401,105,4064273,3811352,163516,79.27,109508,3812216,2035,-459,63.38,75.24,66.05,141319,44.19,96.3,126921,125564,NA,"BE","  33.1","High income",NA,NA,NA,NA,NA,NA,NA
"219",219,"BELGIUM",2014,"BE0974268972",362,70867,0,131463,70867,"E",2441700,24631,2060800,565700,89500,11.15,60800,1516700,69400,NA,45.18,33.95,16.98,451500,10.03,72.51,553800,461900,27.13,"BE","  27.9","High income",NA,2030,203010,20,20301010,541614,541614
"220",220,"BELGIUM",2014,"BE0003810273",296,48000,88000,517000,136000,"E",5961000,14187,8420000,2680000,3452000,90.61,852000,12514000,495000,NA,49.49,81.79,21.5,1482000,45.9,45.63,1630000,809000,-156.87,"BE","  27.9","High income",NA,5010,501010,50,50101020,517311,517110
"221",221,"BELGIUM",2014,"BE0974259880",352,172750,47928,86663,220678,"E",5541600,28360,3334400,505800,1423600,53.44,110800,1239600,94500,NA,49.48,38.35,19.17,214900,33.81,30.93,154100,22900,11.5,"BE","  27.9","High income",NA,2550,255010,25,25501010,441110,441110
"222",222,"BELGIUM",2014,"BE0974293251",384,4127600,1942400,NA,6070000,"E",35642692,154029,117013884,16757501,83263187,102.3,2909101,31000095,2539361,NA,51.26,53.49,63.07,10711817,48.51,60.15,12953543,10536114,-4.97,"BE","  27.9","High income",NA,3020,302010,30,30201010,312120,312120
"223",223,"BELGIUM",2020,"BE0003883031",330,674812,2872,10000,677684,"E",3221958,8292,5010151,2515052,283386,76.16,451258,5023378,321705,NA,54.84,61.16,45.54,406875,42.99,10.38,219291,-105148,-12.74,"BE","  33.1","High income",NA,2010,201030,20,20103010,237,237
"224",224,"BELGIUM",2020,"BE0003808251",289,NA,NA,NA,603309,"E",248554,1625,763246,464017,60,62.61,5386,540491,32486,NA,41.89,40.46,16.22,50004,38.49,53.17,164636,132148,1.96,"BE","  33.1","High income",NA,1010,101020,10,10102040,483111,483111
"225",225,"BELGIUM",2020,"BE0974268972",368,82826,31569,218016,114395,"E",4115100,36291,3828900,1138000,771700,247.76,119800,2461100,318500,NA,70.6,54.62,37.14,571300,71.2,47.35,479700,228400,69.87,"BE","  33.1","High income",NA,2030,203010,20,20301010,541614,541614
"226",226,"BELGIUM",2014,"BE0003593044",220,15406,63267,NA,78673,"E",213889,108,3499012,3196184,119015,107.37,55617,3196184,272,-3327,61.04,72.96,59.12,103184,50.11,73.39,144168,143708,NA,"BE","  27.9","High income",NA,NA,NA,NA,NA,NA,NA
"227",227,"BELGIUM",2008,"BE0003470755",190,9969898,4569887,NA,17900000,"E",9490000,29433,11615000,4218000,2393000,55.72,644000,11130000,471000,NA,45.68,51.9,74.27,1175000,34.32,32.76,1364000,893000,8.05,"BE","  33.0","High income",NA,1510,151010,15,15101020,325,325
"228",228,"BELGIUM",2009,"BE0003565737",204,65610,0,22971,65610,"E",15898000,56939,322384000,2890000,3316000,451.43,1004000,NA,402000,NA,87.54,84.58,32.67,-3176000,81.41,NA,-1836000,-2238000,NA,"BE","  33.7","High income",NA,NA,NA,NA,NA,NA,NA
"229",229,"BELGIUM",2008,"BE0974264930",359,NA,60746,18556,60746,"E",11887000,10374,92490000,1135000,817000,261.52,1523000,NA,NA,NA,29.95,26.14,71.97,-3401000,69.51,NA,979000,805000,NA,"BE","  33.0","High income",NA,NA,NA,NA,NA,NA,NA
"230",230,"BELGIUM",2008,"BE0003565737",203,27912,7399,34877,35311,"E",20363000,59150,353227000,2964000,3866000,648.63,469000,NA,392000,NA,91.36,91.91,29.32,-10983000,85.7,NA,-1255000,-1647000,NA,"BE","  33.0","High income",NA,NA,NA,NA,NA,NA,NA
"231",231,"BELGIUM",2008,"BE0003755692",268,NA,NA,NA,125000,"E",3032000,12486,2878000,369000,647000,117.57,71000,2108000,74000,NA,63.11,42.06,74.19,43000,53.9,31.83,2e+05,84000,3.19,"BE","  33.0","High income",NA,3510,351030,35,35103010,333316,333315
"232",232,"BELGIUM",2009,"BE0003826436",310,5929,3960,2944,9889,"E",1197421,1887,3156882,1314968,1549021,645.45,200388,2764616,302803,NA,37.05,81.19,23.93,440750,86.59,43.02,607882,305079,-5.18,"BE","  33.7","High income",NA,5020,502010,50,50201030,517,517
"233",233,"BELGIUM",2009,"BE0974320526",402,NA,NA,NA,529628,"E",6937310,9713,2730591,763790,138957,27.54,204783,2092269,116306,NA,63.72,89.49,69.01,432950,20.88,0.51,228663,112357,10.85,"BE","  33.7","High income",NA,1510,151010,15,15101050,4235,3314
"234",234,"BELGIUM",2009,"BE0003735496",246,4229.6,NA,NA,4229.6,"E",1567178,1472,1145770,548914,314775,67.59,159862,1273274,164313,21376,23.16,36.3,60.86,445784,40.33,50.03,529529,378198,-3.67,"BE","  33.7","High income",NA,5010,501020,50,50102010,517312,517210
"235",235,"BELGIUM",2009,"BE0003810273",291,53160,96952,28478,150112,"E",5922000,16804,7155000,2420000,2711000,85.44,764000,11691000,205000,NA,75.05,82.49,64.81,1406000,46.01,51.33,1879000,1173000,51.5,"BE","  33.7","High income",NA,5010,501010,50,50101020,517311,517110
"236",236,"BELGIUM",2009,"BE0003739530",253,40122,54443,NA,94565,"E",2683000,9324,8962000,534000,6505000,50.8,104000,1239000,78000,NA,23.77,51.08,48.02,296000,33.68,61.8,240000,20000,-10.01,"BE","  33.7","High income",NA,3520,352020,35,35202010,325412,325414
"237",237,"BELGIUM",2009,"BE0974259880",347,165540,52612,40661,259942,"E",6269700,29283,5009000,1091000,1716000,203.5,792800,1811600,268200,NA,11.63,49.23,18.4,896300,64.45,32.27,693900,385000,25.12,"BE","  33.7","High income",NA,2550,255010,25,25501010,441110,441110
"238",238,"BELGIUM",2009,"BE0974293251",379,2962050,1587950,NA,4550000,"E",26352913,116489,77880048,11489778,52552420,161.92,1794000,20444420,1820285,NA,38.34,63.54,78.59,6541269,59.68,51.94,9072032,7083268,-11.1,"BE","  33.7","High income",NA,3020,302010,30,30201010,312120,312120
"239",239,"BELGIUM",2010,"BE0003810273",292,58307,97578,25000,155885,"E",6552000,16308,8353000,2348000,3527000,67.57,597000,11761000,260000,NA,77.37,81.9,59.62,1666000,38.59,45.6,1935000,1126000,-13.71,"BE","  37.2","High income",NA,5010,501010,50,50101020,517311,517110
"240",240,"BELGIUM",2010,"BE0003565737",205,13905,0,32247,13905,"E",17082000,52110,318456000,2693000,2256000,306.74,580000,NA,361000,NA,90.44,88.03,30.88,9385000,74.88,NA,2789000,2428000,NA,"BE","  37.2","High income",NA,NA,NA,NA,NA,NA,NA
"241",241,"BELGIUM",2010,"BE0974294267",391,480000,1660000,NA,2140000,"E",2696100,4450,2089500,758800,18700,55.16,67900,1250000,75300,NA,40.07,44.05,85.73,211300,35.44,17.88,178600,100500,6.97,"BE","  37.2","High income",NA,1510,151040,15,15104020,3314,3314
"242",242,"BELGIUM",2010,"BE0974320526",403,NA,NA,NA,543216,"E",9689798,9436,3402803,804510,169497,31.98,169705,2186129,126167,NA,60.65,89.94,41.56,92665,23.48,2.58,384669,258502,12.83,"BE","  37.2","High income",NA,1510,151010,15,15101050,4235,3314
"243",243,"BELGIUM",2010,"BE0003593044",216,NA,NA,18,55376,"E",274590,105,3381906,3042455,165439,110.58,14470,3042455,1177,-746,66.38,66.72,50.32,93832,51.22,71.25,166621,165583,NA,"BE","  37.2","High income",NA,NA,NA,NA,NA,NA,NA
"244",244,"BELGIUM",2010,"BE0003735496",247,8105,0,347,8105,"E",1664620,1677,1301534,635927,374910,69.76,146282,1422340,84452,NA,39.44,39.89,78.89,509606,41.09,47.05,515015,354025,-6.47,"BE","  37.2","High income",NA,5010,501020,50,50102010,517312,517210
"245",245,"BELGIUM",2010,"BE0003470755",192,NA,NA,NA,1.6e+07,"E",6796000,16785,13428000,3698000,194000,43.64,456000,11257000,399000,NA,49.42,55.93,64.05,576000,29.06,23.37,1310000,892000,1.08,"BE","  37.2","High income",NA,1510,151010,15,15101020,325,325
"246",246,"BELGIUM",2010,"BE0003826436",311,6380,3830,3800,10210,"E",1298993,2000,3672775,1310202,1555357,1323.25,233697,3009103,246471,NA,54.64,80.65,45.33,503777,92.97,43.36,658900,345112,5.29,"BE","  37.2","High income",NA,5020,502010,50,50201030,517,517
"247",247,"BELGIUM",2010,"BE0003739530",254,44598,52341,NA,96939,"E",2786000,8898,8752000,505000,6359000,44.07,38000,1198000,65000,NA,27.3,50.2,81.76,506000,30.58,62.2,290000,35000,-22.84,"BE","  37.2","High income",NA,3520,352020,35,35202010,325412,325414
"248",248,"BELGIUM",2010,"BE0003755692",270,122800,122800,NA,245500,"E",2948000,11766,2840000,313000,680000,38.72,34000,2127000,64000,NA,63.69,43.1,66.11,223000,27.34,33.85,61000,-34000,3.42,"BE","  37.2","High income",NA,3510,351030,35,35103010,333316,333315
"249",249,"BELGIUM",2010,"BE0974256852",335,NA,NA,NA,91530,"E",6752600,21149,2615100,1243900,106300,1.93,282800,2214400,130000,NA,51.2,46.34,9.4,510600,1.89,22.77,534500,404500,-99.16,"BE","  37.2","High income",NA,3010,301010,30,30101030,445110,445110
"250",250,"BELGIUM",2010,"BE0974259880",348,206763,55723,52291,294660,"E",7053600,31537,5264800,1133700,1796800,167.5,115600,1901000,260200,NA,12.02,43.32,27.22,217300,58.85,31.69,761800,456300,10.7,"BE","  37.2","High income",NA,2550,255010,25,25501010,441110,441110
"251",251,"BELGIUM",2010,"BE0003678894",231,6462,2547,11.3,9009,"E",158964,40,1985075,658,15890,77.72,100,NA,216,NA,33.34,64.72,73.43,87684,42.23,74.25,90859,90643,NA,"BE","  37.2","High income",NA,NA,NA,NA,NA,NA,NA
"252",252,"BELGIUM",2010,"BE0974293251",380,2911250,1338750,12283,4250000,"E",27497155,114313,84857706,11872071,56665179,127.33,1228101,22631112,1784054,NA,30.27,63.09,78.98,7503632,53.64,54.22,10109638,8137710,-11.79,"BE","  37.2","High income",NA,3020,302010,30,30201010,312120,312120
"253",253,"BELGIUM",2011,"BE0974320526",404,NA,NA,NA,695733,"E",14480939,9861,3624668,864336,183303,22.22,141478,2344737,137051,NA,73.89,92.96,68.24,499956,17.64,2.56,494738,357687,20.84,"BE","  31.6","High income",NA,1510,151010,15,15101050,4235,3314
"254",254,"BELGIUM",2011,"BE0003755692",271,110500,122600,NA,233100,"E",3023000,11728,2725000,301000,681000,38.23,48000,2139000,57000,NA,59.01,57.47,49.98,-38000,26.95,27.85,-31000,-120000,3.97,"BE","  31.6","High income",NA,3510,351030,35,35103010,333316,333315
"255",255,"BELGIUM",2011,"BE0003470755",193,NA,NA,NA,15100000,"E",8109000,29121,18657000,5652000,4304000,67.71,366000,16869000,410000,NA,64.21,41.72,44.72,889000,38.52,18.93,1166000,706000,2.93,"BE","  31.6","High income",NA,1510,151010,15,15101020,325,325
"256",256,"BELGIUM",2011,"BE0003565737",206,7106,12790,23554,19896,"E",17571000,51127,282937000,2651000,1898000,316.02,551000,NA,207000,NA,89.4,91.76,32.96,1466000,75.39,NA,1712000,1386000,NA,"BE","  31.6","High income",NA,NA,NA,NA,NA,NA,NA
"257",257,"BELGIUM",2011,"BE0974294267",392,5e+05,1900000,NA,2400000,"E",3347600,7042,3410000,1716700,166400,68.15,145300,2773200,135400,NA,44.05,40.22,71.96,87900,40.45,19.61,246700,108300,8.4,"BE","  31.6","High income",NA,1510,151040,15,15104020,3314,3314
"258",258,"BELGIUM",2011,"BE0003735496",248,8240,0,268,8240,"E",1657580,1859,1375102,666000,392106,79.1,239811,1479654,115496,NA,34.15,37.48,66.43,435998,44.17,39.98,487428,301267,-5.68,"BE","  31.6","High income",NA,5010,501020,50,50102010,517312,517210
"259",259,"BELGIUM",2011,"BE0003810273",293,52066,84478,20000,136544,"E",6361000,15788,8191000,2401000,3478000,59.94,734000,11680000,490000,NA,68.9,79.41,50.6,1551000,35.84,46.36,1866000,1110000,-38.55,"BE","  31.6","High income",NA,5010,501010,50,50101020,517311,517110
"260",260,"BELGIUM",2008,"BE0003735496",245,NA,NA,NA,4765.6,"E",1532731,1570,1195415,529526,352337,70.34,146684,1236888,173092,-15864,33.89,26.85,58.85,436677,41.29,51.93,556379,396534,-4.33,"BE","  33.0","High income",NA,5010,501020,50,50102010,517312,517210
"261",261,"BELGIUM",2008,"BE0974293251",378,NA,NA,NA,5140000,"E",16102000,119874,80643000,14137000,52618000,267.75,1481000,22200000,1152000,NA,40.56,50.82,36.92,4189000,71.09,53.21,5059000,3752000,-1.72,"BE","  33.0","High income",NA,3020,302010,30,30201010,312120,312120
"262",262,"BELGIUM",2008,"BE0003810273",290,92173,15827,NA,108000,"E",5911000,17371,7474000,2501000,2663000,111.01,512000,11435000,530000,NA,69.94,80.12,63.38,1552000,52.55,53.09,1928000,1184000,82.1,"BE","  33.0","High income",NA,5010,501010,50,50101020,517311,517110
"263",263,"BELGIUM",2008,"BE0974320526",401,NA,NA,NA,627568,"E",9168637,10113,2935809,709194,123076,45.58,148902,1958637,106089,NA,50.39,60.55,75.43,339378,30.56,4.71,324845,211477,9.74,"BE","  33.0","High income",NA,1510,151010,15,15101050,4235,3314
"264",264,"BELGIUM",2008,"BE0003739530",252,47090,70000,NA,117090,"E",3027000,11292,9363000,623000,6748000,74.35,220000,1228000,75000,NA,15.78,28.15,59.1,366000,42.63,62.14,138000,-42000,-4.22,"BE","  33.0","High income",NA,3520,352020,35,35202010,325412,325414
"265",265,"BELGIUM",2011,"BE0974259880",349,182180,55134,51698,290179,"E",5977300,26884,3596000,436300,1454400,54.97,147700,981800,145600,NA,18.46,45.1,43.1,131100,33.29,28.96,604300,372500,9.16,"BE","  31.6","High income",NA,2550,255010,25,25501010,441110,441110
"266",266,"BELGIUM",2011,"BE0003826436",312,6103,21214,848,27317,"E",1376253,2093,3531013,1301121,1651282,-1192.2,194549,3239923,259019,NA,73.89,83.44,55.53,540856,109.16,42.4,710364,357601,-13.32,"BE","  31.6","High income",NA,5020,502010,50,50201030,517,517
"267",267,"BELGIUM",2011,"BE0003678894",232,9213,6412,11.67,11360,"E",172490,39,2027849,978,15774,87.49,244,NA,355,NA,21.68,71.91,77.52,67043,45.04,77.68,98734,98450,NA,"BE","  31.6","High income",NA,NA,NA,NA,NA,NA,NA
"268",268,"BELGIUM",2012,"BE0003755692",272,124600,105400,NA,230100,"E",3091000,11408,2615000,277000,654000,45.48,55000,2130000,56000,NA,69.42,58.26,34.98,6000,30.44,28.11,81000,-6000,3.83,"BE","  32.0","High income",NA,3510,351030,35,35103010,333316,333315
"269",269,"BELGIUM",2012,"BE0974294267",393,570000,1920000,NA,2500000,"E",3069800,6970,3424600,1730200,133400,74.79,215800,3281500,207300,NA,43.03,58.63,78.7,289800,42.79,17.15,186700,-31700,12.08,"BE","  32.0","High income",NA,1510,151040,15,15104020,3314,3314
"270",270,"BELGIUM",2012,"BE0003470755",194,10349500,4557130,1203230,14906700,"E",12831000,29103,17782000,5393000,4179000,59.36,602000,16048000,794000,NA,65.32,85.76,56.65,1280000,35.64,19.96,1862000,1036000,4.01,"BE","  32.0","High income",NA,1510,151010,15,15101020,325,325
"271",271,"BELGIUM",2012,"BE0003735496",249,7766,0,276,7766,"E",1650475,1787,1340326,665010,366675,113.54,203739,1490345,217214,NA,31.85,45.06,70.73,311480,53.17,44.07,485955,268741,-7.38,"BE","  32.0","High income",NA,5010,501020,50,50102010,517312,517210
"272",272,"BELGIUM",2012,"BE0003810273",294,54000,96000,17047,150000,"E",6457000,15859,8098000,2467000,3436000,62.63,757000,11912000,748000,NA,58.68,81.59,52.49,1480000,36.92,47.98,1784000,1035000,-15.34,"BE","  32.0","High income",NA,5010,501010,50,50101020,517311,517110
"273",273,"BELGIUM",2009,"BE0974256852",334,NA,NA,NA,82874,"E",6309600,19464,2352500,1043700,82100,2.05,221300,1922100,117200,NA,43.64,42.48,10.49,439800,2.01,22.28,481800,364600,192.95,"BE","  33.7","High income",NA,3010,301010,30,30101030,445110,445110
"274",274,"BELGIUM",2009,"BE0003755692",269,NA,NA,NA,118000,"E",2755000,11753,2599000,326000,648000,78.22,49000,2091000,69000,NA,66.04,43.58,68.86,246000,43.79,32.16,234000,132000,3.67,"BE","  33.7","High income",NA,3510,351030,35,35103010,333316,333315
