Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AEROPORTO GUGLI - NET SALES OR REVENUES,IT0001006128(WC01001),E,NA,NA,NA,NA,81981,85915,75902,79313,89600,98169,113152,123989,66389
AEROPORTO GUGLI - EMPLOYEES,IT0001006128(WC07011),E,NA,NA,NA,NA,408,401,426,422,435,448,464,548,471
AF GRUPPEN ASA - NET SALES OR REVENUES,NO0003078107(WC01001),NK,5879654,5313553,5751000,7268000,9830000,10127000,9935000,12342000,11876000,13704000,18767000,22612000,27025000
AF GRUPPEN ASA - EMPLOYEES,NO0003078107(WC07011),NK,2179,1974,1933,2394,2670,2708,2797,3030,3049,3768,4220,5536,5510
AFRY - NET SALES OR REVENUES,SE0005999836(WC01001),SK,4568835,4677909,4334100,5124100,5796400,8337000,8805000,9850600,11070000,12658000,13975000,19792000,18991000
AFRY - EMPLOYEES,SE0005999836(WC07011),SK,3948,4182,3966,4367,6867,7043,7117,7852,9133,9865,10928,16348,15871
AGEAS SA - NET SALES OR REVENUES,BE0974264930(WC01001),E,11887000,15132000,13294100,13809900,14244400,13590000,13800500,13099800,12846300,12143700,11211300,14041500,11713000
AGEAS SA - EMPLOYEES,BE0974264930(WC07011),E,10374,10613,11707,12557,13335,13071,12204,11919,12080,11260,11009,10741,10045
AGFA-GEVAERT NV - NET SALES OR REVENUES,BE0003755692(WC01001),E,3032000,2755000,2948000,3023000,3091000,2865000,2620000,2646000,2537000,2443000,2247000,2239000,1709000
AGFA-GEVAERT NV - EMPLOYEES,BE0003755692(WC07011),E,12486,11753,11766,11728,11408,11047,10506,10241,10042,9840,9662,9247,7337
AGRANA BETEILIGUNGS - NET SALES OR REVENUES,AT000AGRANA3(WC01001),E,1892275,2026328,1989159,2165902,2577631,3065906,3043430,2493512,2477647,2561296,2566317,2443048,2480732
AGRANA BETEILIGUNGS - EMPLOYEES,AT000AGRANA3(WC07011),E,8140,8244,7927,8243,7982,8449,8929,8462,7805,7901,8603,9191,9389
AHLERS AG - NET SALES OR REVENUES,DE0005009740(WC01001),E,268097,249440,250800,256213,253170,246717,257109,241912,237761,235931,223067,207004,151584
