"ISIN","year","cur_rat","stlt_lia","cogs"
"BE0974276082","2018",1.26,104000,1621100
"BE0974276082","2019",1.19,69600,1587400
"BE0974276082","2020",1.13,366300,1405000
"CH0303692047","2008",NA,NA,NA
"CH0303692047","2009",NA,NA,NA
"CH0303692047","2010",NA,NA,NA
"CH0303692047","2011",NA,NA,NA
"CH0303692047","2012",0.91,117948,78815
"CH0303692047","2013",1.77,35648,92759
"CH0303692047","2014",1.82,4858,123612
"CH0303692047","2015",1.9,28942,100204
"CH0303692047","2016",1.6,28825,99191
"CH0303692047","2017",0.95,115852,97160
"CH0303692047","2018",1.66,25078,116456
"CH0303692047","2019",1.41,39967,136819
"CH0303692047","2020",1.29,19424,83587
"DE0005158703","2008",2.21,10466,1207125
"DE0005158703","2009",2.32,2561,1173382
"DE0005158703","2010",1.9,4812,1479723
"DE0005158703","2011",1.83,9002,1686606
"DE0005158703","2012",1.9,12567,1767457
"DE0005158703","2013",1.92,10546,1885192
"DE0005158703","2014",1.89,12711,2146424
"DE0005158703","2015",1.96,9627,2346529
"DE0005158703","2016",1.97,9745,2563071
"DE0005158703","2017",1.91,58930,2970595
"DE0005158703","2018",2.01,12872,3614975
"DE0005158703","2019",1.9,49948,4524257
"DE0005158703","2020",1.87,59103,4878967
"DE0005176903","2008",2.14,35239,273745
"DE0005176903","2009",2.4,26228,237853
"DE0005176903","2010",2.78,12666,261559
"DE0005176903","2011",2.63,29634,287848
"DE0005176903","2012",3.38,1975,295038
"DE0005176903","2013",1.79,55600,291531
"DE0005176903","2014",2.65,5563,468041
"DE0005176903","2015",2.72,4970,480662
"DE0005176903","2016",1.72,72357,473255
"DE0005176903","2017",3.06,5656,506299
"DE0005176903","2018",1.93,65905,527460
"DE0005176903","2019",2.28,8928,511197
"DE0005176903","2020",2.12,40594,450267
"DE0005313704","2008",3.48,4105,284027
"DE0005313704","2009",3.49,12379,301434
"DE0005313704","2010",3.48,5186,296985
"DE0005313704","2011",3.72,7871,325015
"DE0005313704","2012",3.32,14157,382616
"DE0005313704","2013",3.55,5059,399905
"DE0005313704","2014",3.48,16271,402929
"DE0005313704","2015",3.19,6513,481216
"DE0005313704","2016",3,26066,488593
"DE0005313704","2017",3.82,9627,508928
"DE0005313704","2018",4.47,19239,539189
"DE0005313704","2019",3.84,14853,579067
"DE0005313704","2020",4.33,15721,529510
"DE0005773303","2008",1.3,558600,436900
"DE0005773303","2009",3.51,118900,410700
"DE0005773303","2010",2.91,160400,453800
"DE0005773303","2011",1.69,228900,500400
"DE0005773303","2012",1.88,196600,513100
"DE0005773303","2013",1.45,314900,63900
"DE0005773303","2014",1.14,318100,48200
"DE0005773303","2015",0.83,543600,46900
"DE0005773303","2016",1.28,366500,60900
"DE0005773303","2017",0.84,575400,95600
"DE0005773303","2018",0.94,608300,404300
"DE0005773303","2019",0.85,610400,489600
"DE0005773303","2020",1.26,1011500,233000
"DE0005800601","2008",1.71,150,148868
"DE0005800601","2009",1.85,0,130375
"DE0005800601","2010",1.56,0,218525
"DE0005800601","2011",1.6,0,239714
"DE0005800601","2012",1.79,555,108304
"DE0005800601","2013",1.78,732,108559
"DE0005800601","2014",1.09,46032,125130
"DE0005800601","2015",1.69,620,62425
"DE0005800601","2016",1.67,18308,59848
"DE0005800601","2017",1.51,5291,55590
"DE0005800601","2018",1.54,15299,54050
"DE0005800601","2019",1.4,26437,46269
"DE0005800601","2020",1.2,42578,49475
"DE0005909006","2008",0.93,51300,8540500
"DE0005909006","2009",0.86,55900,8387800
"DE0005909006","2010",0.96,108200,6800100
"DE0005909006","2011",0.97,13200,6981200
"DE0005909006","2012",1.09,201100,7224900
"DE0005909006","2013",1.08,56300,7133700
"DE0005909006","2014",1.04,54800,6641300
"DE0005909006","2015",1.05,7400,5600500
"DE0005909006","2016",1.55,11500,3750000
"DE0005909006","2017",1.45,2300,3632300
"DE0005909006","2018",0.98,501600,3699300
"DE0005909006","2019",1.31,49700,3804600
"DE0005909006","2020",1.66,46900,3033000
"DE0006062144","2008",NA,NA,NA
"DE0006062144","2009",NA,NA,NA
"DE0006062144","2010",NA,NA,NA
"DE0006062144","2011",NA,NA,NA
"DE0006062144","2012",NA,NA,NA
"DE0006062144","2013",NA,NA,NA
"DE0006062144","2014",0.73,3943000,8992000
"DE0006062144","2015",0.93,2478000,8699000
"DE0006062144","2016",1.73,103000,7928000
"DE0006062144","2017",1.86,575000,8681000
"DE0006062144","2018",2.05,47000,9298000
"DE0006062144","2019",2.21,141000,8907000
"DE0006062144","2020",2.62,613000,7432000
"DE0006275001","2008",0.61,1610945,15558942
"DE0006275001","2009",NA,NA,NA
"DE0006275001","2010",NA,NA,NA
"DE0006275001","2011",NA,NA,NA
"DE0006275001","2012",NA,NA,NA
"DE0006275001","2013",NA,NA,NA
"DE0006275001","2014",NA,NA,NA
"DE0006275001","2015",NA,NA,NA
"DE0006275001","2016",NA,NA,NA
"DE0006275001","2017",NA,NA,NA
"DE0006275001","2018",NA,NA,NA
"DE0006275001","2019",NA,NA,NA
"DE0006275001","2020",NA,NA,NA
"DE0006305006","2008",2.4,5600,1290200
"DE0006305006","2009",1.81,5600,794300
"DE0006305006","2010",1.29,3000,963500
"DE0006305006","2011",1.34,1900,1212100
"DE0006305006","2012",1.42,1100,1026100
"DE0006305006","2013",1.52,7600,1162900
"DE0006305006","2014",1.66,14700,1231400
"DE0006305006","2015",1.6,14900,937800
"DE0006305006","2016",1.63,16200,990700
"DE0006305006","2017",1.63,17500,1177400
"DE0006305006","2018",1.6,19800,1424500
"DE0006305006","2019",1.45,36400,1450500
"DE0006305006","2020",1.25,90200,1036500
"DE0006450000","2008",2.99,3093,25345
"DE0006450000","2009",2.99,1324,26060
"DE0006450000","2010",2.75,941,34786
"DE0006450000","2011",2.11,3981,43934
"DE0006450000","2012",1.95,9753,66725
"DE0006450000","2013",2.07,5934,72442
"DE0006450000","2014",1.68,20126,77421
"DE0006450000","2015",1.82,15627,64071
"DE0006450000","2016",1.31,20852,74076
"DE0006450000","2017",1.29,20952,75036
"DE0006450000","2018",1.96,2603,87814
"DE0006450000","2019",2.26,1966,93283
"DE0006450000","2020",2.54,2508,63397
"DE0007030009","2008",1.26,48000,3026000
"DE0007030009","2009",1.16,353000,2745000
"DE0007030009","2010",1.56,34000,2887000
"DE0007030009","2011",1.48,45000,3288000
"DE0007030009","2012",1.42,27000,2520000
"DE0007030009","2013",1.3,51000,2547000
"DE0007030009","2014",1.37,57000,2543000
"DE0007030009","2015",1.51,63000,2781000
"DE0007030009","2016",1.24,567000,3011000
"DE0007030009","2017",1.49,74000,3147000
"DE0007030009","2018",1.46,151000,3165000
"DE0007030009","2019",1.52,112000,3209000
"DE0007030009","2020",1.5,150000,2929000
"DE0007037129","2008",1.19,2329000,32623000
"DE0007037129","2009",1.08,3127000,29660000
"DE0007037129","2010",1.07,3902000,33034000
"DE0007037129","2011",0.93,6495000,33694000
"DE0007037129","2012",1.02,4529000,34284000
"DE0007037129","2013",1.11,999000,31010000
"DE0007037129","2014",1.14,2192000,33407000
"DE0007037129","2015",1.11,1227000,34008000
"DE0007037129","2016",1.06,883000,33134000
"DE0007037129","2017",1.15,1718000,31003000
"DE0007037129","2018",1.34,91000,10192000
"DE0007037129","2019",1.43,474000,8981000
"DE0007037129","2020",1.66,169000,9720000
"DE0007074007","2008",2.46,3842,288736
"DE0007074007","2009",2.24,6691,361452
"DE0007074007","2010",2.19,10730,384101
"DE0007074007","2011",2.28,14205,408194
"DE0007074007","2012",2.08,52119,492967
"DE0007074007","2013",2.27,33259,568946
"DE0007074007","2014",2.12,53357,568736
"DE0007074007","2015",2.5,48117,411492
"DE0007074007","2016",2.79,22749,434858
"DE0007074007","2017",2.72,38847,444618
"DE0007074007","2018",2.74,60601,395922
"DE0007074007","2019",1.72,473855,409657
