"ISIN","year","scope_total","NPPE","Debt_TotCap","GMAR","gsector","INTAN_TA","Capex_NPPE","Rev_Emp","FuelInten","Age","CapInt"
"AT000000STR1",2015,1097980,1881520,32.24,30.76,"20",0.0489416438151412,0.184152706322548,179.001241219396,15.5,9.98062248797196,0.384114163046437
"AT0000937503",2015,12052080,5328422,49.9,20.79,"15",0.140225568374893,0.189612797184607,235.975515626977,15.5,22.2664498900408,1.26679820084692
"AT0000720008",2011,84572,2462174,81.73,50.21,"50",0.405448803717852,0.310121055619952,258.734158099553,17.2,17.681035133237,2.73532503065353
"AT0000730007",2020,134117,1170132,54.97,41.94,"20",0.143638886641999,0.104292507170131,235.668495849163,16.4,8.51131907447623,0.325264374623857
"ATFREQUENT09",2020,634,46605,28.63,70.22,"20",0.0430556258724315,0.0974358974358974,160.453067645517,16.4,5.76563637567013,0.284697892700272
"AT0000743059",2011,12244000,13981194,26.91,12.68,"10",0.121465194314454,0.149315287378174,1142.72459731544,17.2,20.2401298565295,0.726479422942806
"AT0000937503",2013,11444100,4580658,56.25,20.03,"15",0.14063108769771,0.12070318281784,248.633276520463,15.9,21.8528357203033,1.12540842686748
"AT0000743059",2019,1.1e+07,16479000,39.25,25.04,"10",0.104890523822722,0.193761757388191,1182.21214411691,17.2,16.0559670781893,1.66301521674268
"AT0000758305",2020,30796,410477,45.84,22.83,"20",0.162870022942945,0.232999656497197,141.709534368071,16.4,9.04279587656863,0.520997298326318
"AT0000720008",2020,309531,3606223,54.88,34.99,"50",0.364985243645883,0.242323339405245,248.69825617026,16.4,20.0476980420769,3.05924346169312
"AT0000746409",2020,1059000,9518286,16.68,46.44,"55",0.055429384707507,0.041096054478716,1085.4322147651,16.4,50.4924263184761,5.81025651489463
"AT0000720008",2017,314824,2627919,57.12,31.49,"50",0.458504759820549,0.310688038710478,225.759772115841,17.5,22.5376553947186,2.80345176142035
"AT0000746409",2018,1481000,8957118,27.13,37.38,"55",0.0550415308320571,0.0271797245497938,1022.96084770115,16.7,50.7136436323581,6.26896092345193
"AT0000743059",2018,11500000,15115000,37.54,23.36,"10",0.091624772112038,0.10492887859742,1133.40912461075,16.7,19.5445387062566,1.60754470126472
"AT000000STR1",2018,1084918,2138575,27.17,30.67,"20",0.095384220395332,0.213981740177455,201.720540683806,16.7,14.9218935285468,0.37200449985258
"AT0000746409",2012,4140000,7385800,45.63,47.36,"55",0.053449904337507,0.0764962495599664,1023.96774193548,16.5,50.7136436323581,4.42834640708188
"AT0000831706",2018,2312000,1575709,39.74,33.24,"15",0.193209832700523,0.103563538699087,199.149132321041,16.7,22.9678277424718,1.29579232447999
"AT0000937503",2012,12645240,4378300,54.99,19.58,"15",0.142391544072601,0.0680629468058379,280.998322147651,16.5,23.5899637473765,1.02531887014646
"AT0000743059",2012,11574000,14347110,25.5,12.15,"10",0.115144279547356,0.171622298846248,1488.2137971945,16.5,18.0888475585906,0.610473773841315
"AT0000743059",2016,11400000,14613000,39.1,13.21,"10",0.0547756850957695,0.203791144871005,854.329311568488,16.2,8.97562852744997,1.81656282450675
"AT000000STR1",2016,1056600,1927739,30.4,32.69,"20",0.0489906863790551,0.205292832691563,172.614666128426,16.2,12.1623123409158,0.427329378374117
"AT0000937503",2016,12063480,6006500,48.93,21.41,"15",0.142289417474317,0.213692832764505,228.848181611429,16.2,22.0283607487238,1.40345298002475
"AT0000746409",2016,1349000,9010643,32.84,39.08,"55",0.0703122535358238,0.0319752985441771,947.105691056911,16.2,41.193630502239,6.34367435232716
"AT0000831706",2016,2046000,1564727,42.02,30.21,"15",0.190739292946315,0.0944503418168153,185.980550343965,16.2,21.6742128042151,1.39434278164615
"AT0000720008",2016,302747,2550754,60.9,33.73,"50",0.465368589833589,0.284880862678251,226.601823875185,16.2,21.3931999590293,2.83559285915333
"AT000000STR1",2017,1111616,1936032,27.58,31.36,"20",0.0459107118122107,0.213041416670799,185.294702622627,17.5,13.9019884692317,0.402335379541741
"AT0000746409",2017,1810000,8871326,29.15,36.35,"55",0.0598733454086736,0.0279716921686792,1033.4327775807,17.5,34.3594135216689,6.15211343219439
"AT0000743059",2017,11400000,13654000,40.44,21.75,"10",0.0858847950181629,0.148088472242566,975.918150668404,17.5,17.2625754527163,1.69706260508357
"AT0000937503",2020,14550000,6558800,47.8,15.6,"15",0.124862096675338,0.126867719704824,255.971981804275,16.4,14.6348920863309,1.47163683829774
"AT0000831706",2017,2171000,1521572,39.64,30.08,"15",0.1910764239874,0.107503949862379,191.428299687059,17.5,22.0485746683895,1.34003609954396
"AT000KAPSCH9",2019,2176,21956,39.55,38.18,"45",0.125712569436649,0.474858808526143,148.121863079703,17.2,6.59033902976847,0.129628148740504
"AT0000969985",2019,574600,777742,57.79,23.62,"45",0.03438332653723,0.10293130626866,104.778615839364,17.2,15.6874416227552,1.73184284175906
"AT0000937503",2019,13500000,6580200,43.69,19.91,"15",0.125751408992966,0.161104525698307,261.249927755409,17.2,23.0130879875599,1.30960791109603
"AT0000758305",2019,36589,427673,48.33,24.17,"20",0.173807826534344,0.23219609374452,157.635178860327,17.2,10.5997346306944,0.450938478740188
"AT0000741053",2019,3848310,3579600,18.93,24.19,"55",0.0269204706462145,0.104536819756397,319.050376375217,17.2,39.8593339176161,4.12699637023593
"AT000000STR1",2011,1312861,2154238,35.42,30.61,"20",0.0525201398701374,0.257094620000204,178.411833580517,17.2,13.3828985203296,0.35363404639588
"AT0000937503",2011,13118900,4371400,59.67,21.41,"15",0.141760942867047,0.11632428970124,260.616226504877,17.2,23.1319215076744,1.08693865999617
"AT0000746409",2011,4503481,6578700,46.02,23.44,"55",0.0532999418178139,0.1030864760515,1269.42528735632,17.2,50.7136436323581,3.37362239354271
"AT0000837307",2019,23397,232690,41.45,34.6,"20",0.268563572747182,0.302092913318149,197.689179993195,17.2,18.8434005093567,0.585790913558063
"AT0000785555",2019,368774,294544,68.49,15.62,"20",0.011553602359105,0.274481911021783,121.786148942336,17.2,10.2797675521822,1.03119557251763
"AT0000831706",2020,2651000,1755519,47.74,29.57,"15",0.151144311128259,0.145521068128571,201.853240267164,16.4,18.5565342676577,1.35145333317037
"AT0000743059",2020,10400000,19203000,47.63,24.54,"10",0.0715919487648673,0.112378274227985,654.38298208849,16.4,12.9996872067563,2.51117824773414
