Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AGEAS (EX-FORTIS) - CO2 Equivalents Emission Indirect,BE0974264930(ENERDP025),NA,60746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2575,1180
AGFA-GEVAERT - CO2 Equivalents Emission Direct,BE0003755692(ENERDP024),NA,NA,NA,122800,110500,124600,121000,111700,111500,104700,102800,104600,99000,90900
AGFA-GEVAERT - CO2 Equivalents Emission Indirect,BE0003755692(ENERDP025),NA,NA,NA,122800,122600,105400,97500,91400,91500,78600,79400,80100,63800,53700
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
#ERROR,,,"$$ER: 0904,NO DATA AVAILABLE",,,,,,,,,,,,
AIB GROUP - CO2 Equivalents Emission Direct,IE00BF0L3536(ENERDP024),NA,NA,11514.2,NA,NA,10477,NA,NA,NA,5471,5160,5212,4784,4213
AIB GROUP - CO2 Equivalents Emission Indirect,IE00BF0L3536(ENERDP025),NA,NA,21271.9,NA,NA,13664,NA,NA,NA,16557,15663,14316,10025,9525
AIR FRANCE-KLM - CO2 Equivalents Emission Direct,FR0000031122(ENERDP024),NA,27154388,27595833,25353000,28283493,NA,27664900,27655800,27645800,27407300,27570458,27633300,28288700,14048000
AIR FRANCE-KLM - CO2 Equivalents Emission Indirect,FR0000031122(ENERDP025),NA,NA,NA,80892,95471,90229,NA,NA,NA,NA,49097,46200,7600,6800
AIRBUS - CO2 Equivalents Emission Direct,NL0000235190(ENERDP024),NA,325000,550500,594422,593529.5,580243,585911,545613,525883,557447,591002,553887,578000,470000
AIRBUS - CO2 Equivalents Emission Indirect,NL0000235190(ENERDP025),NA,415000,444000,428531,455370.7,431164,423814,405077,401734,377955,422099,405938,376000,313000
