Name,Code,25/05/2008,25/05/2009,25/05/2010,25/05/2011,25/05/2012,25/05/2013,25/05/2014,25/05/2015,25/05/2016,25/05/2017,25/05/2018,25/05/2019,25/05/2020
HUFVUDSTADEN A - SHORT TERM DEBT & CURRENT PORT,SE0000170375(WC03051),0,500000,950000,250000,1550000,1200000,1000000,1100000,2650000,2500000,1650000,1691400,2460200
SSAB A - SHORT TERM DEBT & CURRENT PORT,SE0000171100(WC03051),1640000,3998000,2977000,3607000,1115000,2568000,8496000,6365000,4497000,2011000,3523000,3360000,6612000
INDUSTRIVARDEN A - SHORT TERM DEBT & CURRENT PORT,SE0000190126(WC03051),2229000,2330000,2458000,2923000,4305000,4153000,3905000,2149000,5425000,4523000,5394000,1932000,3269000
ATRIUM LJUNGBERG B - SHORT TERM DEBT & CURRENT PORT,SE0000191827(WC03051),1674910,2047700,1736900,1881300,2802400,1753600,2510300,2285400,1970000,1832000,0,5064000,4108000
GETINGE B - SHORT TERM DEBT & CURRENT PORT,SE0000202624(WC03051),94000,15000,1245000,1568000,4362000,3610000,6380000,5277000,5787000,6275000,3451000,2952000,2519000
SWEDBANK A - SHORT TERM DEBT & CURRENT PORT,SE0000242455(WC03051),605587000,479922000,395352000,355457000,346336000,121621000,488337000,367172000,344869000,324262000,263175000,379116000,351204000
MYCRONIC - SHORT TERM DEBT & CURRENT PORT,SE0000375115(WC03051),15177,14823,5796,4213,2312,0,0,0,10735,12642,1239,66000,79000
CASTELLUM - SHORT TERM DEBT & CURRENT PORT,SE0000379190(WC03051),0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0
SEMCON - SHORT TERM DEBT & CURRENT PORT,SE0000379497(WC03051),2500,400,29200,200,0,94700,97800,136100,131300,0,0,36800,31800
PROFILGRUPPEN B - SHORT TERM DEBT & CURRENT PORT,SE0000393860(WC03051),51300,52000,90900,78100,44900,77900,34400,68000,39500,49700,47400,156500,118400
MODERN TIMES GROUP MTG B - SHORT TERM DEBT & CURRENT PORT,SE0000412371(WC03051),56000,54000,82000,50000,90000,73000,57000,1549000,1491000,2628000,3179000,37000,2986000
KNOWIT - SHORT TERM DEBT & CURRENT PORT,SE0000421273(WC03051),64700,61485,110999,104311,167109,209972,158766,86559,25800,25380,15164,67722,232012
#ERROR,,"$$ER: E100,NO WORLDSCOPE DATA FOR THIS CODE",,,,,,,,,,,,
#ERROR,,"$$ER: E100,NO WORLDSCOPE DATA FOR THIS CODE",,,,,,,,,,,,
KUNGSLEDEN - SHORT TERM DEBT & CURRENT PORT,SE0000549412(WC03051),4875600,2731500,3874400,11620000,2954200,10579400,0,0,1579000,1907000,1432000,658000,1679000
MIDSONA B - SHORT TERM DEBT & CURRENT PORT,SE0000565228(WC03051),399000,254000,26000,51000,9000,43000,53000,69000,31000,41000,93000,118000,253000
CLAS OHLSON B - SHORT TERM DEBT & CURRENT PORT,SE0000584948(WC03051),NA,208600,171400,261700,30000,NA,0,0,0,0,0,283100,590900
DUNI - SHORT TERM DEBT & CURRENT PORT,SE0000616716(WC03051),0,0,0,635000,0,0,819000,2000,1000,198000,105000,221000,270000
ICA GRUPPEN - SHORT TERM DEBT & CURRENT PORT,SE0000652216(WC03051),5000,124000,387000,198000,61000,3523000,1277000,4712000,3057000,3975000,2233000,5730000,5136000
