Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AKTIA BANK ABP - TOTAL DEBT % TOTAL CAPITAL/STD,FI4000058870(WC08221),NA,94.09,92.52,92.09,91.41,89.56,89.02,87.2,86.38,84.37,85.19,84.9,85.1,84.91
AKVA GROUP ASA - TOTAL DEBT % TOTAL CAPITAL/STD,NO0003097503(WC08221),NA,38.95,43.8,48.2,36.1,30.59,28.17,26.79,36.44,46.49,48.59,41.75,55.14,46.41
AKWEL SA - TOTAL DEBT % TOTAL CAPITAL/STD,FR0000053027(WC08221),NA,48.18,27.57,15.55,38.25,33.08,30.07,35.36,30.4,26.1,24.59,22.7,21.57,17.47
AKZO NOBEL N.V. - TOTAL DEBT % TOTAL CAPITAL/STD,NL0013267909(WC08221),NA,31.74,31.96,28.48,26.59,35.5,37.59,34.75,27.07,27.97,34.16,16.82,25.19,32.69
ALBIOMA SA - TOTAL DEBT % TOTAL CAPITAL/STD,FR0000060402(WC08221),NA,64,63.64,64.95,65.86,62.29,57.09,57.7,57.59,59.65,60.22,63.18,65.17,63.86
ALD SA - TOTAL DEBT % TOTAL CAPITAL/STD,FR0013258662(WC08221),NA,NA,NA,NA,NA,87.84,85.81,84.28,73.38,81.03,81.66,82.11,82.14,80.91
ALFA LAVAL AB - TOTAL DEBT % TOTAL CAPITAL/STD,SE0000695876(WC08221),NA,26.07,13.73,9.05,25.96,26.69,20.46,51.18,44.57,39.95,38.27,33.82,34.74,28.58
ALFEN NV - TOTAL DEBT % TOTAL CAPITAL/STD,NL0012817175(WC08221),NA,NA,NA,NA,NA,NA,NA,NA,25.5,29.03,31.25,71.61,59.77,21.22
ALIMAK GROUP - TOTAL DEBT % TOTAL CAPITAL/STD,SE0007158910(WC08221),NA,NA,NA,NA,NA,60.69,56.45,52.12,28.58,19.26,28.74,26.39,27.33,20.86
ALIOR BANK SA - TOTAL DEBT % TOTAL CAPITAL/STD,PLALIOR00045(WC08221),NA,NA,45.28,17.69,9.41,30.36,34.81,34.54,35.66,20.44,29.33,27.91,30.43,31.32
ALK-ABELLO A/S - TOTAL DEBT % TOTAL CAPITAL/STD,DK0060027142(WC08221),NA,2.56,2.33,2.32,13.35,12.69,12.69,12.1,19.3,21.23,18.73,18.92,23.76,23.02
