Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AIXTRON SE - OPTG INC BEFORE DEP & AMORT,DE000A0WMPJ6(WC18155),E,47982,68105,300190,125592,-114300,-85358,-43901,-25150,-14619,-9411,47356,37466,33023
AIXTRON SE - NET SALES OR REVENUES,DE000A0WMPJ6(WC01001),E,274404,302857,783775,610960,227832,182863,193797,197756,196477,230382,268811,259627,269247
AKASTOR ASA - OPTG INC BEFORE DEP & AMORT,NO0010215684(WC18155),NK,3382000,4711000,3757000,2594000,4739000,3477000,2697000,320000,118000,435000,207000,499000,334000
AKASTOR ASA - NET SALES OR REVENUES,NO0010215684(WC01001),NK,58252000,54077000,46267000,35667000,44922000,42874000,21262000,15509000,5140000,4296000,3717000,5359000,4580000
AKER ASA - OPTG INC BEFORE DEP & AMORT,NO0010234552(WC18155),NK,-881000,104000,1591000,951000,-514000,300000,7724000,13344000,5763000,5705000,4397000,3928000,1952000
AKER ASA - NET SALES OR REVENUES,NO0010234552(WC01001),NK,6395000,6262000,7527000,4883000,5952000,8086000,70782000,73405000,43673000,41610000,42163000,48756000,6810000
AKER BIOMARINE ASA - OPTG INC BEFORE DEP & AMORT,NO0010886625(WC18155),NK,NA,NA,NA,NA,NA,NA,NA,192886,284812,130296,261211,182963,261437
AKER BIOMARINE ASA - NET SALES OR REVENUES,NO0010886625(WC01001),NK,NA,NA,NA,NA,NA,NA,NA,836957,964966,1022088,1259863,2168516,2703146
AKER BP ASA - OPTG INC BEFORE DEP & AMORT,NO0010345853(WC18155),NK,-368595,-1178612,-1654117,-1098113,-1573720,-1090710,1317941,7728679,8108114,14705252,23056946,20417591,19428036
AKER BP ASA - NET SALES OR REVENUES,NO0010345853(WC01001),NK,326756,255135,362115,361774,332444,943881,2945061,9910794,11427732,21099320,30642851,29765414,27404156
AKER CARBON - OPTG INC BEFORE DEP & AMORT,NO0010890304(WC18155),NK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-42700
AKER CARBON - NET SALES OR REVENUES,NO0010890304(WC01001),NK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15801
AKER SOLUTIONS ASA - OPTG INC BEFORE DEP & AMORT,NO0010716582(WC18155),NK,NA,NA,NA,1609000,2263000,2176000,2838000,2637000,2077000,1665000,1811000,2313000,1236000
