Name,Code,CURRENCY,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AEGON N.V. - TOTAL ASSETS,NL0000303709(WC02999),E,285812000,293246000,326211000,333971000,354098000,343239000,415282000,406207000,414640000,377010000,372399000,420095000,425857000
"AEGON N.V. - PROPERTY, PLANT & EQUIP - NET",NL0000303709(WC02501),E,540000,548000,574000,561000,526000,487000,509000,575000,572000,530000,498000,744000,683000
AENA SME SA - TOTAL ASSETS,ES0105046009(WC02999),E,NA,NA,NA,16887456,16654769,16369125,17314806,16895504,15369803,15185063,14774126,14783614,15506524
"AENA SME SA - PROPERTY, PLANT & EQUIP - NET",ES0105046009(WC02501),E,NA,NA,NA,16065993,15781467,15230817,15557830,14869922,13563922,13205946,12872781,12732431,12366706
AEROPORTO GUGLI - TOTAL ASSETS,IT0001006128(WC02999),E,NA,NA,NA,NA,203060,208752,206492,254021,252629,253964,254668,262810,285400
"AEROPORTO GUGLI - PROPERTY, PLANT & EQUIP - NET",IT0001006128(WC02501),E,NA,NA,NA,NA,8836,9178,14477,9922,12098,14670,15135,14951,12686
AF GRUPPEN ASA - TOTAL ASSETS,NO0003078107(WC02999),NK,3178789,3059012,2974000,4544000,4921000,5192000,5362000,6149000,6498000,7698000,8467000,12841000,12846000
"AF GRUPPEN ASA - PROPERTY, PLANT & EQUIP - NET",NO0003078107(WC02501),NK,462802,748353,308000,360000,383000,397000,992000,1111000,1105000,1241000,1356000,2481000,2380000
AFRY - TOTAL ASSETS,SE0005999836(WC02999),SK,3594722,3571604,3928700,4089200,7503600,7061800,7293200,8299700,10383000,11364000,13191000,24123000,23420000
"AFRY - PROPERTY, PLANT & EQUIP - NET",SE0005999836(WC02501),SK,338638,332925,292700,285900,279300,289700,346400,384800,476000,510000,571000,3206000,2805000
AGEAS SA - TOTAL ASSETS,BE0974264930(WC02999),E,92490000,92907000,98341800,89775000,96273200,94858000,102788300,103738900,103459200,102416000,100841300,108566700,110569000
"AGEAS SA - PROPERTY, PLANT & EQUIP - NET",BE0974264930(WC02501),E,1135000,1108000,1065000,1098300,1115000,1089300,1119400,1152100,1172300,1183900,1234600,1718600,1827000
AGFA-GEVAERT NV - TOTAL ASSETS,BE0003755692(WC02999),E,2878000,2599000,2840000,2725000,2615000,2373000,2375000,2250000,2203000,2118000,2253000,2169000,2084000
"AGFA-GEVAERT NV - PROPERTY, PLANT & EQUIP - NET",BE0003755692(WC02501),E,369000,326000,313000,301000,277000,242000,234000,214000,198000,190000,174000,252000,205000
AGRANA BETEILIGUNGS - TOTAL ASSETS,AT000AGRANA3(WC02999),E,2187230,1960495,1857070,1961202,2332357,2545227,2421980,2384703,2228292,2467102,2342757,2377098,2535269
"AGRANA BETEILIGUNGS - PROPERTY, PLANT & EQUIP - NET",AT000AGRANA3(WC02501),E,653316,609866,597788,577709,595924,685481,711626,661537,679592,738907,768881,864221,932795
AHLERS AG - TOTAL ASSETS,DE0005009740(WC02999),E,238345,186380,187600,188657,179534,181016,189007,179493,180658,179942,171003,152551,149728
"AHLERS AG - PROPERTY, PLANT & EQUIP - NET",DE0005009740(WC02501),E,34616,34673,31831,30419,28588,27684,27428,26961,26154,25729,23771,20605,26796
AIB GROUP PLC - TOTAL ASSETS,IE00BF0L3536(WC02999),E,181895000,173731000,142838000,132959000,118656000,113906000,103879000,100225000,92794000,87326000,88834000,95896000,107674000
"AIB GROUP PLC - PROPERTY, PLANT & EQUIP - NET",IE00BF0L3536(WC02501),E,603000,536000,348000,360000,333000,301000,290000,344000,357000,321000,330000,803000,725000
AIR FRANCE - KLM - TOTAL ASSETS,FR0000031122(WC02999),E,30661000,27962000,26833000,26174000,26323000,24987000,22199000,22633000,22756000,24174000,28513000,30212000,29929000
"AIR FRANCE - KLM - PROPERTY, PLANT & EQUIP - NET",FR0000031122(WC02501),E,14473000,14438000,13601000,12744000,11980000,11210000,10478000,10413000,10599000,11413000,16913000,18087000,17257000
AIRBUS SE - TOTAL ASSETS,NL0000235190(WC02999),E,73397000,77648000,78937000,84167000,87584000,89471000,90385000,99922000,103576000,110339000,110363000,109401000,106072000
"AIRBUS SE - PROPERTY, PLANT & EQUIP - NET",NL0000235190(WC02501),E,12156000,12508000,13427000,14159000,15196000,15856000,16321000,17127000,16913000,16610000,16773000,17294000,16674000
AIXTRON SE - TOTAL ASSETS,DE000A0WMPJ6(WC02999),E,311666,559225,803963,748912,554583,558580,529427,478711,434417,451529,526029,551702,576011
"AIXTRON SE - PROPERTY, PLANT & EQUIP - NET",DE000A0WMPJ6(WC02501),E,39324,37758,77910,96176,97552,79866,77299,81332,74157,64322,63111,64539,63469
AKASTOR ASA - TOTAL ASSETS,NO0010215684(WC02999),NK,42205000,39537000,39534000,33579000,39645000,47557000,24216000,20069000,12261000,9667000,8631000,10190000,8818000
"AKASTOR ASA - PROPERTY, PLANT & EQUIP - NET",NO0010215684(WC02501),NK,4610000,6531000,7494000,7409000,10041000,9815000,6469000,6480000,5198000,4419000,825000,1297000,1485000
AKER ASA - TOTAL ASSETS,NO0010234552(WC02999),NK,46278000,41249000,40770000,35925000,38286000,45090000,128000000,133220000,91084000,83229000,91699000,105445000,58232000
"AKER ASA - PROPERTY, PLANT & EQUIP - NET",NO0010234552(WC02501),NK,21433000,18289000,18794000,9774000,14888000,17637000,48296000,56418000,22693000,22178000,18262000,23114000,9680000
AKER BIOMARINE ASA - TOTAL ASSETS,NO0010886625(WC02999),NK,NA,NA,NA,NA,NA,NA,NA,2284898,2407076,3098620,3717687,6077462,6009195
"AKER BIOMARINE ASA - PROPERTY, PLANT & EQUIP - NET",NO0010886625(WC02501),NK,NA,NA,NA,NA,NA,NA,NA,1001644,1216588,1697898,2007975,2800008,2399630
AKER BP ASA - TOTAL ASSETS,NO0010345853(WC02999),NK,5225316,7712992,7719619,7715984,8364453,9910929,40241935,45878048,79751839,98674541,93123284,107346657,106555314
"AKER BP ASA - PROPERTY, PLANT & EQUIP - NET",NO0010345853(WC02501),NK,298054,447553,406834,902071,1993269,2657566,19052844,26343351,38274867,45833272,49652413,63367893,63476921
AKER CARBON - TOTAL ASSETS,NO0010890304(WC02999),NK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,484481
"AKER CARBON - PROPERTY, PLANT & EQUIP - NET",NO0010890304(WC02501),NK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15794
AKER SOLUTIONS ASA - TOTAL ASSETS,NO0010716582(WC02999),NK,NA,NA,NA,16891000,19888000,25330000,27011000,27397000,20846000,19103000,20301000,25692000,26363000
"AKER SOLUTIONS ASA - PROPERTY, PLANT & EQUIP - NET",NO0010716582(WC02501),NK,NA,NA,NA,1894000,2365000,3072000,3603000,3962000,3808000,3316000,3044000,6693000,6505000
